Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
284010,Izu-Oshima,Stratovolcano,1990,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.724,139.394,758,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Dacite,Ê,Ê,Ê,Ê,2381,8037,8375,11837468
272020,Kanlaon,Stratovolcano,2017,Philippines,Philippines and SE Asia,Central Philippines,10.412,123.132,2435,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,1662,40276,923257,9345000
251030,Karkar,Stratovolcano,2014,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,-4.649,145.964,1839,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,5,4159,20127,189841
233010,Karthala,Shield,2007,Comoros,Middle East and Indian Ocean,Indian Ocean (western),-11.75,43.38,2361,Intraplate / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,225379,225379,278330,399067
311130,Kasatochi,Stratovolcano,2008,United States,Alaska,Aleutian Islands,52.177,-175.508,314,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,0,276
263280,Kelut,Stratovolcano,2014,Indonesia,Indonesia,Java,-7.93,112.308,1731,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,279,50901,2087876,24999627
332010,Kilauea,Shield,2021,United States,Hawaii and Pacific Ocean,Hawaiian Islands,19.421,-155.287,1222,Intraplate / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,3122,3122,8495,169550
282090,Kirishimayama,Shield,2018,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.934,130.862,1700,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,647,8415,407050,3972044
300230,Kizimen,Stratovolcano,2013,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.131,160.32,2334,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Dacite,Ê,Ê,Ê,Ê,0,26,197,5564
300260,Klyuchevskoy,Stratovolcano,2021,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.056,160.642,4754,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,292,12406
300090,Koryaksky,Stratovolcano,2009,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.321,158.712,3430,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,13,142050,257322
373080,Krafla,Caldera,1984,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),65.715,-16.728,800,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Rhyolite,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,384,384,1258,25667
252070,Krummel-Garbuna-Welcker,Stratovolcano(es),2008,Papua New Guinea,Melanesia and Australia,New Britain,-5.416,150.027,564,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,91,8207,58235,143455
282050,Kuchinoerabujima,Stratovolcano(es),2020,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,30.443,130.217,657,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,1544,1698,5348,149518
355100,Lascar,Stratovolcano(es),2017,Chile,South America,"Northern Chile, Bolivia and Argentina",-23.37,-67.73,5592,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,70,570,8119
357110,Llaima,Stratovolcano,2009,Chile,South America,Central Chile and Argentina,-38.692,-71.729,3125,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Dacite,Ê,Ê,Ê,Ê,86,811,18568,630458
266100,Lokon-Empung,Stratovolcano(es),2015,Indonesia,Indonesia,Sulawesi,1.358,124.792,1580,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Dacite,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,12183,75684,942160,1583346
357100,Lonquimay,Stratovolcano,1990,Chile,South America,Central Chile and Argentina,-38.379,-71.586,2832,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,96,540,13635,504320
257050,Lopevi,Stratovolcano,2007,Vanuatu,Melanesia and Australia,Vanuatu,-16.507,168.346,1413,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,690,793,7942,50310
268070,Makian,Stratovolcano,1988,Indonesia,Indonesia,Halmahera,0.32,127.4,1357,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,4986,8466,21360,441768
311310,Makushin,Stratovolcano,1995,United States,Alaska,Aleutian Islands,53.891,-166.923,1800,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Dacite,Ê,Trachyte / Trachydacite,Ê,Ê,Ê,Ê,0,0,3437,3850
251020,Manam,Stratovolcano,2021,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,-4.08,145.037,1807,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,1106,2553,24364,180402
221115,Manda Hararo,Shield(s),2009,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,12.17,40.82,600,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,191,857,7455,419204
353080,Marchena,Shield,1991,Ecuador,South America,Galapagos Islands,0.33,-90.47,343,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,785,785,785,3001
332020,Mauna Loa,Shield,1984,United States,Hawaii and Pacific Ocean,Hawaiian Islands,19.475,-155.608,4170,Intraplate / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,45,45,1906,175315
273030,Mayon,Stratovolcano,2019,Philippines,Philippines and SE Asia,Luzon,13.257,123.685,2462,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,4350,248448,1166441,4142375
263250,Merapi,Stratovolcano,2021,Indonesia,Indonesia,Java,-7.54,110.446,2910,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Ê,Ê,Ê,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Ê,Ê,Ê,49205,185849,4348473,24728414
284040,Miyakejima,Stratovolcano,2010,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",34.094,139.526,775,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,1848,3189,3474,95663
